Title of sheet,,,,
key,,(Description - ingored column),en,vi-VN
message,,Some desciption,Hello!,Xin chào!
gender,male,Example for nested json,Male,Nam
,female,,Female,Nữ
fullName,,,Full Name,Tên đầy đủ
emptyNameError,,Example for easy_localization syntax @.lower:fullName,Please fill in your @.lower:fullName,Vui lòng điền @.lower:fullName của bạn
money,zero,Pluarl support,You not have money,Bạn không có tiền
,one,Pluarl support,You have {} dollar,Bạn có {} đô la
,many,Pluarl support,You have {} dollars,Bạn có {} đô la
,other,Pluarl support,You have {} dollars,Bạn có {} đô la
multiLineText,,,"This is
multi-line
text","Đây là nội dung
có
nhiều
dòng"
